Issuer,Recommendation
ALK,buy
ALK,buy
ALK,buy
KMB,buy
KMB,sell
MERM,sell
MERM,sell
MERM,buy
TEL,sell
TEL,buy
TEL,sell
TEL,sell
TEL,sell
TEL,sell
TNB,buy
TNB,buy
TNB,buy
TNB,buy
TNB,buy
USJE,sell
USJE,sell
